ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
53547,Andrei Jms,M,30,184,90,Estonia,EST,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Quadruple Sculls,NA
53547,Andrei Jms,M,34,184,90,Estonia,EST,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Bronze
53572,Dominykas Janionis,M,23,192,95,Lithuania,LTU,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,NA
53577,Emil Jand,M,21,NA,56,"R.-V. Germania, Leitmeritz",AUT,1912 Summer,1912,Summer,Stockholm,Rowing,"Rowing Men's Coxed Fours, Outriggers",NA
53586,Elika Jandov,F,17,183,70,Czechoslovakia,TCH,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxed Eights,NA
53632,Jang Kang-Eun,M,19,178,71,South Korea,KOR,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,NA
53635,Jang Myeong-Hui,F,19,173,59,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Double Sculls,NA
53686,Slavko Janjuevi,M,23,189,84,Yugoslavia,YUG,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Pairs,NA
53698,Lubomr Janko,M,24,188,86,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Coxed Eights,NA
53710,Elbieta Jadwiga Jankowska,F,23,177,76,Poland,POL,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Coxed Fours,NA
53711,Edmund Bernard Jankowski,M,24,174,72,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Rowing,Rowing Men's Coxed Fours,Bronze
53713,Miosz Jankowski,M,26,193,70,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,NA
53715,Wojciech Jankowski,M,25,195,98,Poland,POL,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,NA
53715,Wojciech Jankowski,M,29,195,98,Poland,POL,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Fours,Bronze
53715,Wojciech Jankowski,M,33,195,98,Poland,POL,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxless Fours,NA
53730,Vladimr Jno,M,22,192,89,Czechoslovakia,TCH,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxed Eights,NA
53730,Vladimr Jno,M,26,192,89,Czechoslovakia,TCH,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Coxed Fours,Bronze
53730,Vladimr Jno,M,30,192,89,Czechoslovakia,TCH,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Coxed Fours,NA
53738,Bohumil Janouek,M,22,182,83,Czechoslovakia,TCH,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxed Eights,Bronze
53738,Bohumil Janouek,M,27,182,83,Czechoslovakia,TCH,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Eights,Bronze
53747,Jarosaw Janowski,M,25,187,84,Poland,POL,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Quadruple Sculls,NA
53751,Herbert Jans Luna,M,21,178,72,Chile,CHI,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Coxless Fours,NA
53755,Milan Jana,M,22,190,90,Yugoslavia,YUG,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,NA
53755,Milan Jana,M,26,190,90,Slovenia,SLO,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxless Fours,Bronze
53755,Milan Jana,M,30,190,90,Slovenia,SLO,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxless Fours,NA
53755,Milan Jana,M,34,190,90,Slovenia,SLO,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Fours,NA
53756,Milo Jana,M,22,190,90,Yugoslavia,YUG,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Coxless Fours,NA
53790,Pauline Janson (-Jeljeli),F,22,173,74,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Fours,NA
53798,Inge Janssen,F,23,182,74,Netherlands,NED,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Double Sculls,NA
53798,Inge Janssen,F,27,182,74,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,Silver
53910,Zyta Jarka,F,26,187,85,Poland,POL,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Coxed Fours,NA
53911,Hanna Jarkiewicz (-Widun),F,25,164,62,Poland,POL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Double Sculls,NA
53922,Tihomir Jarnjevi,M,22,186,84,Croatia,CRO,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Double Sculls,NA
53929,Pawe Krzysztof Jarosiski,M,25,195,99,Poland,POL,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Fours,NA
53967,"Christopher ""Chris"" Jarvis",M,24,193,88,Canada,CAN,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxless Pairs,NA
53975,Morgan Jarvis,M,28,182,72,Canada,CAN,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Lightweight Double Sculls,NA
53977,"Walter Edward Howard ""Wally"" Jarvis",M,28,173,74,Australia,AUS,1924 Summer,1924,Summer,Paris,Rowing,Rowing Men's Coxed Eights,NA
53981,Mirosaw Zenon Jarzembowski,M,26,193,85,Poland,POL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Coxless Fours,NA
54027,"Burton Albert ""Burt"" Jastram",M,22,184,84,United States,USA,1932 Summer,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold
54038,"Robert C. ""Bob"" Jaugstetter",M,36,159,49,United States,USA,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Silver
54057,Mahsa Javer,F,22,173,62,Iran,IRI,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Single Sculls,NA
54114,douard Jeandet,M,NA,NA,NA,France,FRA,1928 Summer,1928,Summer,Amsterdam,Rowing,Rowing Men's Coxed Eights,NA
54115,Louis Jeandet,M,NA,NA,NA,France,FRA,1928 Summer,1928,Summer,Amsterdam,Rowing,Rowing Men's Coxed Eights,NA
54121,Guillaume Jeannet,M,22,187,85,France,FRA,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Quadruple Sculls,NA
54137,Hamzah Hussein Jebur,M,32,184,80,Iraq,IRQ,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Double Sculls,NA
54152,Cezary Wiesaw Jdrzycki,M,23,189,90,Poland,POL,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Quadruple Sculls,NA
